6,daniel,aaa,daniel@gabi.ro,0,0,0,0.0000
6,daniel,aaa,daniel@gabi.ro,0,0,0,0.0000
6,daniel,aaa,daniel@gabi.ro,0,0,0,0.0000
5,bbb,bb,bbb@ccc.dd,0,0,0,0.0000
5,bbb,bb,bbb@ccc.dd,0,0,0,0.0000
5,bbb,bb,bbb@ccc.dd,0,0,0,0.0000
3,cezarus,cezar,gabi_steam@yahoo.com,0,0,0,0.0000
3,cezarus,cezar,gabi_steam@yahoo.com,0,0,0,0.0000
3,cezarus,cezar,gabi_steam@yahoo.com,0,0,0,0.0000
9,bogatu,daniel,bogatu@gmail.com,0,0,0,0.0000
9,bogatu,daniel,bogatu@gmail.com,0,0,0,0.0000
9,bogatu,daniel,bogatu@gmail.com,0,0,0,0.0000
11,cezarus22,gg,gabi_steam@yahoo.com,0,0,0,0.0000
11,cezarus22,gg,gabi_steam@yahoo.com,0,0,0,0.0000
11,cezarus22,gg,gabi_steam@yahoo.com,0,0,0,0.0000
12,cezarus223,gg,gabi_steam@yahoo.com,0,0,0,0.0000
12,cezarus223,gg,gabi_steam@yahoo.com,0,0,0,0.0000
12,cezarus223,gg,gabi_steam@yahoo.com,0,0,0,0.0000
7,marian,marian,asfasfasf@asfsfaasf.com,0,0,0,0.0000
7,marian,marian,asfasfasf@asfsfaasf.com,0,0,0,0.0000
7,marian,marian,asfasfasf@asfsfaasf.com,0,0,0,0.0000
10,roxana,rox,roxana@romania.ro,0,0,0,0.0000
10,roxana,rox,roxana@romania.ro,0,0,0,0.0000
10,roxana,rox,roxana@romania.ro,0,0,0,0.0000
